ICAO;IATA;Name;City;Country;Lattitude Degrees;Lattitude Minutes;Lattitude Seconds;Lattitude Direction;Longitude Degrees;Longitude Minutes;Longitude Seconds;Longitude Direction;Altitude
AYGA;GKA;GOROKA;GOROKA;PAPUA NEW GUINEA;6;4;54;S;145;23;30;E;1610
AYLA;LAE;N/A;LAE;PAPUA NEW GUINEA;0;0;0;U;0;0;0;U;0
AYMD;MAG;MADANG;MADANG;PAPUA NEW GUINEA;5;12;25;S;145;47;19;E;7
AYMH;HGU;MOUNT HAGEN;MOUNT HAGEN;PAPUA NEW GUINEA;5;49;34;S;144;17;46;E;1643
AYNZ;LAE;NADZAB;NADZAB;PAPUA NEW GUINEA;6;34;11;S;146;43;34;E;73
AYPY;POM;PORT MORESBY JACKSONS INTERNATIONAL;PORT MORESBY;PAPUA NEW GUINEA;9;26;36;S;147;13;12;E;45
AYRB;RAB;N/A;RABAUL;PAPUA NEW GUINEA;0;0;0;U;0;0;0;U;0
AYWK;WWK;WEWAK INTERNATIONAL;WEWAK;PAPUA NEW GUINEA;3;35;1;S;143;40;9;E;6
BGAM;N/A;N/A;ANGMAGSSALIK;GREENLAND;0;0;0;U;0;0;0;U;0
BGAS;N/A;N/A;ANGISSOQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGAT;N/A;N/A;APUTITEQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGBW;UAK;NARSARSUAQ;NARSSARSSUAQ;GREENLAND;61;9;40;N;45;25;39;W;35
BGCH;JCH;N/A;CHRISTIANSHAAB;GREENLAND;0;0;0;U;0;0;0;U;0
BGCO;N/A;NERLERIT INAAT CONSTABLE PYNT;NERLERIT INAAT;GREENLAND;70;44;22;N;22;38;45;W;14
BGDB;N/A;N/A;DANEBORG;GREENLAND;0;0;0;U;0;0;0;U;0
BGDH;N/A;N/A;DANMARKSHAVN;GREENLAND;0;0;0;U;0;0;0;U;0
BGDU;N/A;N/A;DUNDAS;GREENLAND;0;0;0;U;0;0;0;U;0
BGEM;JEG;N/A;EGEDESMINDE;GREENLAND;0;0;0;U;0;0;0;U;0
BGFD;N/A;N/A;FREDERIKSDAL;GREENLAND;0;0;0;U;0;0;0;U;0
BGFH;JFR;N/A;FREDERIKSHAAB;GREENLAND;0;0;0;U;0;0;0;U;0
BGGD;JGR;N/A;GRONNEDAL;GREENLAND;0;0;0;U;0;0;0;U;0
BGGH;GOH;NUUK;GODTHAAB;GREENLAND;64;11;27;N;51;40;41;W;87
BGGN;JGO;N/A;GODHAVN;GREENLAND;0;0;0;U;0;0;0;U;0
BGHB;JHS;N/A;HOLSTEINSBORG;GREENLAND;0;0;0;U;0;0;0;U;0
BGIS;N/A;N/A;ISORTOQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGIT;N/A;N/A;IVIGTUT;GREENLAND;0;0;0;U;0;0;0;U;0
BGJH;JJU;N/A;JULIANEHAAB;GREENLAND;0;0;0;U;0;0;0;U;0
BGJN;JAV;JACOBSHAVN;JAKOBSHAVN;GREENLAND;69;14;0;N;51;4;0;W;34
BGKD;N/A;N/A;KAP DAN;GREENLAND;0;0;0;U;0;0;0;U;0
BGKK;KUS;KULUSUK;KULUSUK;GREENLAND;65;35;0;N;37;9;0;W;34
BGKM;N/A;N/A;KUNGMIUT;GREENLAND;0;0;0;U;0;0;0;U;0
BGKT;N/A;N/A;KAP TOBIN;GREENLAND;0;0;0;U;0;0;0;U;0
BGMV;N/A;N/A;MESTERS VIG;GREENLAND;0;0;0;U;0;0;0;U;0
BGNN;JNN;N/A;NANORTALIK;GREENLAND;0;0;0;U;0;0;0;U;0
BGNS;JNS;N/A;NARSSAQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGOS;N/A;N/A;ORSSUIORSSUAQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGPC;N/A;N/A;PRINS CHRISTIAN SUND;GREENLAND;0;0;0;U;0;0;0;U;0
BGRS;N/A;N/A;RAVNS STORO;GREENLAND;0;0;0;U;0;0;0;U;0
BGSC;N/A;N/A;SCORESBYSUND;GREENLAND;0;0;0;U;0;0;0;U;0
BGSF;SFJ;KANGERLUSSUAQ SONDRE STROMFJORD;SONDRESTROM;GREENLAND;67;1;1;N;50;41;21;W;51
BGSG;N/A;N/A;SERMILIGAO;GREENLAND;0;0;0;U;0;0;0;U;0
BGST;JSU;N/A;SUKKERTOPPEN;GREENLAND;0;0;0;U;0;0;0;U;0
BGTL;THU;THULE AIR BASE;THULE;GREENLAND;76;31;52;N;68;42;11;W;77
BGTM;N/A;N/A;TINGMIARMIUT;GREENLAND;0;0;0;U;0;0;0;U;0
BGTN;N/A;N/A;TINITEQILAQ;GREENLAND;0;0;0;U;0;0;0;U;0
BGUM;N/A;N/A;UMANAK;GREENLAND;0;0;0;U;0;0;0;U;0
BGUP;JUV;N/A;UPERNAVIK;GREENLAND;0;0;0;U;0;0;0;U;0
BIAR;AEY;AKUREYRI;AKUREYRI;ICELAND;65;39;35;N;18;4;21;W;2
BIBL;N/A;N/A;BLONDUOS;ICELAND;0;0;0;U;0;0;0;U;0
BIDV;N/A;N/A;DJUOIVOGUR;ICELAND;0;0;0;U;0;0;0;U;0
BIEG;EGS;EGILSSTADIR;EGILSSTADIR;ICELAND;65;17;0;N;14;24;5;W;24
BIFM;N/A;N/A;FAGURHOLSMYRI;ICELAND;0;0;0;U;0;0;0;U;0
BIGR;GRY;N/A;GRIMSEY;ICELAND;0;0;0;U;0;0;0;U;0
BIHN;HFN;HORNAFJORDUR;HOFN;ICELAND;64;17;44;N;15;13;38;W;8
BIHU;HZK;HUSAVIK;HUSAVIK;ICELAND;65;57;8;N;17;25;33;W;14
BIIS;IFJ;ISAFJORDUR;ISAFJORDUR;ICELAND;66;3;29;N;23;8;7;W;3
BIKF;KEF;KEFLAVIK NAS;KEFLAVIK;ICELAND;63;59;6;N;22;36;20;W;53
BIKP;OPA;KOPASKER;KOPASKER;ICELAND;66;18;49;N;16;27;40;W;7
BIKR;SAK;N/A;SAUDARKROKUR;ICELAND;0;0;0;U;0;0;0;U;0
BINF;NOR;N/A;NORDFJORDUR;ICELAND;0;0;0;U;0;0;0;U;0
BIPA;PFJ;PATREKSFJORDUR;PATREKSFJORDUR;ICELAND;65;33;21;N;23;57;54;W;4
BIRG;RFN;N/A;RAUFARHOFN;ICELAND;0;0;0;U;0;0;0;U;0
BIRK;RKV;REYKJAVIK;REYKJAVIK;ICELAND;64;7;48;N;21;56;26;W;15
BISI;SIJ;SIGLUFJORDHUR;SIGLUFJORDUR;ICELAND;66;8;0;N;18;55;0;W;4
BISS;N/A;N/A;SANDSKEID;ICELAND;0;0;0;U;0;0;0;U;0
BIST;N/A;N/A;STYKKISHOLMUR;ICELAND;0;0;0;U;0;0;0;U;0
BITE;TEY;N/A;THINGEYRI;ICELAND;0;0;0;U;0;0;0;U;0
BITH;THO;N/A;THORSHOFN;ICELAND;0;0;0;U;0;0;0;U;0
BIVM;VEY;VESTMANNAEYJAR;VESTMANNAEYJAR;ICELAND;63;25;27;N;20;16;43;W;100
BIVO;VPN;N/A;VOPNAFJORDUR;ICELAND;0;0;0;U;0;0;0;U;0
BZGD;N/A;N/A;GODLEY;NEW ZEALAND;0;0;0;U;0;0;0;U;0
CUAP;N/A;N/A;ACTIVE PASS;CANADA;0;0;0;U;0;0;0;U;0
CUHA;YQC;N/A;QUAQTAQ;CANADA;0;0;0;U;0;0;0;U;0
CUQC;N/A;N/A;STIRLING;CANADA;0;0;0;U;0;0;0;U;0
CUUP;N/A;N/A;OTTAWA;CANADA;0;0;0;U;0;0;0;U;0
CWBF;N/A;N/A;BATTLE HARBOUR;CANADA;0;0;0;U;0;0;0;U;0
CWHJ;N/A;N/A;HOLBERG;CANADA;0;0;0;U;0;0;0;U;0
CWMK;N/A;N/A;SIMCOE;CANADA;0;0;0;U;0;0;0;U;0
CWMN;N/A;N/A;MOUNT FOREST;CANADA;0;0;0;U;0;0;0;U;0
CWOH;N/A;N/A;SAINTE AGATHE;CANADA;0;0;0;U;0;0;0;U;0
CWPC;N/A;N/A;PINCHER CREEK;CANADA;0;0;0;U;0;0;0;U;0
CWPO;N/A;N/A;PILOT MOUNT;CANADA;0;0;0;U;0;0;0;U;0
CWVA;N/A;N/A;BONAVISTA;CANADA;0;0;0;U;0;0;0;U;0
CYAB;YAB;N/A;ARCTIC BAY;CANADA;0;0;0;U;0;0;0;U;0
CYAJ;N/A;N/A;KOMAKUK;CANADA;0;0;0;U;0;0;0;U;0
CYAL;YAL;N/A;ALERT BAY;CANADA;0;0;0;U;0;0;0;U;0
CYAM;YAM;SAULT STE MARIE;SAULT SAINTE MARIE;CANADA;46;29;6;N;84;30;34;W;193
CYAV;YAV;WINNIPEG ST ANDREWS;WINNIPEG;CANADA;50;3;23;N;97;1;57;W;232
CYAW;YAW;SHEARWATER;HALIFAX;CANADA;44;38;23;N;63;29;58;W;51
CYAY;YAY;ST ANTHONY;ST. ANTHONY;CANADA;51;23;30;N;56;5;4;W;29
CYAZ;YAZ;TOFINO;TOFINO;CANADA;49;4;56;N;125;46;21;W;25
CYBA;N/A;N/A;BANFF;CANADA;0;0;0;U;0;0;0;U;0
CYBB;YBB;KUGAARUK;PELLY BAY;CANADA;68;32;4;N;89;48;29;W;18
CYBC;YBC;BAIE COMEAU;BAIE COMEAU;CANADA;49;7;56;N;68;12;26;W;22
CYBG;YBG;BAGOTVILLE;BAGOTVILLE;CANADA;48;19;50;N;70;59;47;W;160
CYBK;YBK;BAKER LAKE;BAKER LAKE;CANADA;64;17;56;N;96;4;40;W;18
CYBL;YBL;CAMPBELL RIVER;CAMPBELL RIVER;CANADA;49;57;3;N;125;16;15;W;106
CYBR;YBR;BRANDON MUNI;BRANDON;CANADA;49;54;36;N;99;57;7;W;410
CYBT;YBT;N/A;BROCHET;CANADA;0;0;0;U;0;0;0;U;0
CYCA;YRF;N/A;CARTWRIGHT;CANADA;0;0;0;U;0;0;0;U;0
CYCB;YCB;CAMBRIDGE BAY;CAMBRIDGE BAY;CANADA;69;6;29;N;105;8;18;W;28
CYCD;YCD;NANAIMO;NANAIMO;CANADA;49;3;8;N;123;52;12;W;29
CYCG;YCG;CASTLEGAR;CASTLEGAR;CANADA;49;17;47;N;117;37;57;W;495
CYCH;YCH;MIRAMICHI;CHATHAM;CANADA;47;0;28;N;65;26;57;W;33
CYCL;YCL;CHARLO;CHARLO;CANADA;47;59;26;N;66;19;53;W;41
CYCO;YCO;KUGLUKTUK;COPPERMINE;CANADA;67;49;0;N;115;8;38;W;23
CYCS;YCS;N/A;CHESTERFIELD INLET;CANADA;0;0;0;U;0;0;0;U;0
CYCT;YCT;CORONATION;CORONATION;CANADA;52;4;30;N;111;26;43;W;791
CYCV;YCV;N/A;MONTREAL;CANADA;0;0;0;U;0;0;0;U;0
CYCW;YCW;CHILLIWACK;CHILLIWACK;CANADA;49;9;10;N;121;56;20;W;10
CYCX;N/A;N/A;CAMP GAGETOWN;CANADA;0;0;0;U;0;0;0;U;0
CYCY;YCY;CLYDE RIVER;CLYDE RIVER;CANADA;70;29;10;N;68;31;0;W;27
CYCZ;YZS;FAIRMONT HOT SPRINGS;CORAL HARBOUR;CANADA;50;19;55;N;115;52;25;W;811
CYDA;YDA;DAWSON;DAWSON;CANADA;64;2;35;N;139;7;40;W;371
CYDB;YDB;BURWASH;BURWASH;CANADA;61;22;16;N;139;2;26;W;807
CYDC;YDC;PRINCETON;PRINCETON;CANADA;49;28;3;N;120;30;43;W;701
CYDF;YDF;DEER LAKE;DEER LAKE;CANADA;49;12;39;N;57;23;29;W;22
CYDL;YDL;DEASE LAKE;DEASE LAKE;CANADA;58;25;20;N;130;1;56;W;793
CYDN;YDN;DAUPHIN BARKER;DAUPHIN;CANADA;51;6;3;N;100;3;9;W;305
CYDQ;YDQ;DAWSON CREEK;DAWSON CREEK;CANADA;55;44;30;N;120;10;55;W;655
CYDR;N/A;N/A;BROADVIEW;CANADA;0;0;0;U;0;0;0;U;0
CYED;YED;EDMONTON NAMAO;EDMONTON;CANADA;53;40;0;N;113;28;0;W;0
CYEG;YEG;EDMONTON INTERNATIONAL;EDMONTON;CANADA;53;18;35;N;113;34;47;W;724
CYEK;YEK;ARVIAT;ESKIMO POINT;CANADA;61;5;39;N;94;4;15;W;10
CYEN;YEN;ESTEVAN;ESTEVAN;CANADA;49;12;37;N;102;57;57;W;581
CYEP;N/A;N/A;ESTEVAN POINT;CANADA;0;0;0;U;0;0;0;U;0
CYET;YET;EDSON;EDSON;CANADA;53;34;44;N;116;27;54;W;927
CYEU;YEU;EUREKA;EUREKA;CANADA;79;59;41;N;85;48;48;W;79
CYEV;YEV;INUVIK MIKE ZUBKO;INUVIK;CANADA;68;18;15;N;133;28;58;W;69
CYFB;YFB;IQALUIT;IQALUIT;CANADA;63;45;23;N;68;33;21;W;34
CYFC;YFC;FREDERICTON;FREDERICTON;CANADA;45;52;10;N;66;31;54;W;21
CYFE;N/A;FORESTVILLE;FORESTVILLE;CANADA;48;44;46;N;69;5;50;W;9
CYFL;N/A;N/A;FORT RELIANCE;CANADA;0;0;0;U;0;0;0;U;0
CYFO;YFO;FLIN FLON;FLIN FLON;CANADA;54;40;41;N;101;40;54;W;304
CYFR;YFR;FORT RESOLUTION;FORT RESOLUTION;CANADA;61;10;51;N;113;41;23;W;161
CYFS;YFS;FORT SIMPSON;FORT SIMPSON;CANADA;61;45;37;N;121;14;12;W;170
CYGA;N/A;N/A;GAGNON;CANADA;0;0;0;U;0;0;0;U;0
CYGK;YGK;KINGSTON;KINGSTON;CANADA;44;13;31;N;76;35;49;W;93
CYGL;YGL;LA GRANDE RIVIERE;LA GRANDE RIVIERE;CANADA;53;37;31;N;77;42;15;W;195
CYGP;YGP;GASPE;GASPE;CANADA;48;46;31;N;64;28;43;W;33
CYGQ;YGQ;GERALDTON GREENSTONE REGIONAL;GERALDTON;CANADA;49;46;42;N;86;56;22;W;349
CYGR;YGR;ILES DE LA MADELEINE;ILES DE LA MADELEINE;CANADA;47;25;29;N;61;46;41;W;11
CYGT;YGT;N/A;IGLOOLIK;CANADA;0;0;0;U;0;0;0;U;0
CYGW;YGW;KUUJJUARAPIK;KUUJJUARARAPIK;CANADA;55;17;0;N;77;46;0;W;20
CYGX;YGX;GILLAM;GILLAM;CANADA;56;21;0;N;94;42;0;W;144
CYGY;N/A;N/A;DECEPTION;CANADA;0;0;0;U;0;0;0;U;0
CYGZ;YGZ;N/A;GRISE FIORD;CANADA;0;0;0;U;0;0;0;U;0
CYHB;YHB;HUDSON BAY;HUDSON BAY;CANADA;52;49;0;N;102;18;41;W;359
CYHD;YHD;DRYDEN RGNL;DRYDEN;CANADA;49;49;54;N;92;44;39;W;413
CYHE;N/A;N/A;HOPE;CANADA;0;0;0;U;0;0;0;U;0
CYHI;YHI;HOLMAN;HOLMAN ISLAND;CANADA;70;45;47;N;117;48;21;W;36
CYHK;YHK;GJOA HAVEN;GJOA HAVEN;CANADA;68;38;8;N;95;50;59;W;47
CYHM;YHM;HAMILTON;HAMILTON;CANADA;43;10;23;N;79;56;6;W;238
CYHO;YHO;N/A;HOPEDALE;CANADA;0;0;0;U;0;0;0;U;0
CYHU;YHU;ST HUBERT;MONTREAL;CANADA;45;31;3;N;73;25;1;W;28
CYHY;YHY;HAY RIVER;HAY RIVER;CANADA;60;50;23;N;115;46;58;W;166
CYHZ;YHZ;HALIFAX INTERNATIONAL;HALIFAX;CANADA;44;52;51;N;63;30;31;W;146
CYIB;YIB;ATIKOKAN MUNI;ATIKOKAN;CANADA;48;46;26;N;91;38;19;W;430
CYIO;YIO;POND INLET;POND INLET;CANADA;72;41;0;N;77;58;0;W;56
CYIV;YIV;N/A;ISLAND LAKE;CANADA;0;0;0;U;0;0;0;U;0
CYJA;N/A;N/A;JASPER;CANADA;0;0;0;U;0;0;0;U;0
CYJN;YJN;ST JEAN;ST. JEAN;CANADA;45;17;40;N;73;16;52;W;42
CYJT;YJT;STEPHENVILLE;STEPHENVILLE;CANADA;48;32;39;N;58;33;0;W;26
CYKA;YKA;KAMLOOPS;KAMLOOPS;CANADA;50;42;8;N;120;26;31;W;346
CYKF;YKF;WATERLOO RGNL;WATERLOO;CANADA;43;27;32;N;80;23;4;W;317
CYKL;YKL;SCHEFFERVILLE;SCHEFFERVILLE;CANADA;54;48;18;N;66;48;19;W;521
CYKY;YKY;KINDERSLEY;KINDERSLEY;CANADA;51;31;3;N;109;10;51;W;695
CYKZ;YKZ;BUTTONVILLE MUNI;TORONTO;CANADA;43;51;44;N;79;22;12;W;199
CYLA;N/A;N/A;LANGARA;CANADA;0;0;0;U;0;0;0;U;0
CYLC;YLC;N/A;LAKE HARBOUR;CANADA;0;0;0;U;0;0;0;U;0
CYLD;YLD;CHAPLEAU;CHAPLEAU;CANADA;47;49;12;N;83;20;47;W;447
CYLJ;YLJ;MEADOW LAKE;MEADOW LAKE;CANADA;54;7;31;N;108;31;22;W;481
CYLL;YLL;LLOYDMINSTER;LLOYDMINSTER;CANADA;53;18;33;N;110;4;21;W;669
CYLO;N/A;N/A;SHILO;CANADA;0;0;0;U;0;0;0;U;0
CYLT;YLT;ALERT;ALERT;CANADA;82;31;4;N;62;16;50;W;31
CYLW;YLW;KELOWNA;KELOWNA;CANADA;49;57;22;N;119;22;40;W;430
CYLY;N/A;N/A;LYTTON;CANADA;0;0;0;U;0;0;0;U;0
CYMA;YMA;MAYO;MAYO;CANADA;63;37;0;N;135;52;0;W;504
CYMD;N/A;N/A;MOULD BAY;CANADA;0;0;0;U;0;0;0;U;0
CYMJ;YMJ;MOOSE JAW;MOOSE JAW;CANADA;50;19;49;N;105;33;33;W;577
CYMM;YMM;FORT MCMURRAY;FORT MCMURRAY;CANADA;56;39;12;N;111;13;19;W;370
CYMO;YMO;MOOSONEE;MOOSONEE;CANADA;51;17;28;N;80;36;28;W;10
CYMR;N/A;N/A;MERRY ISLAND;CANADA;0;0;0;U;0;0;0;U;0
CYMW;YMW;MANIWAKI;MANIWAKI;CANADA;46;16;28;N;75;59;24;W;201
CYMX;YMX;MONTREAL INTERNATIONAL MIRABEL;MONTREAL;CANADA;45;40;47;N;74;2;19;W;83
CYNA;YNA;NATASHQUAN;NATASHQUAN;CANADA;50;11;23;N;61;47;21;W;11
CYND;YND;GATINEAU;GATINEAU;CANADA;45;31;17;N;75;33;51;W;65
CYNI;N/A;N/A;NITCHEQUON;CANADA;0;0;0;U;0;0;0;U;0
CYNM;YNM;MATAGAMI;MATAGAMI;CANADA;49;45;42;N;77;48;10;W;280
CYNY;N/A;N/A;ENDERBY;CANADA;0;0;0;U;0;0;0;U;0
CYO;N/A;N/A;WYNYARD;CANADA;0;0;0;U;0;0;0;U;0
CYOC;YOC;OLD CROW;OLD CROW;CANADA;67;34;14;N;139;50;21;W;252
CYOD;YOD;COLD LAKE;COLD LAKE;CANADA;54;24;18;N;110;16;46;W;542
CYOJ;YOJ;HIGH LEVEL;HIGH LEVEL;CANADA;58;37;17;N;117;9;53;W;339
CYOW;YOW;OTTAWA MACDONALD CARTIER INTERNATIONAL;OTTAWA;CANADA;45;19;21;N;75;40;9;W;114
CYPA;YPA;PRINCE ALBERT GLASS FIELD;PRINCE ALBERT;CANADA;53;12;51;N;105;40;22;W;429
CYPE;YPE;PEACE RIVER;PEACE RIVER;CANADA;56;13;37;N;117;26;50;W;571
CYPF;N/A;N/A;ESQUIMALT;CANADA;0;0;0;U;0;0;0;U;0
CYPG;YPG;SOUTHPORT;PORTAGE-LA-PRAIRIE;CANADA;49;54;10;N;98;16;29;W;270
CYPH;YPH;N/A;INUKJUAK;CANADA;0;0;0;U;0;0;0;U;0
CYPK;N/A;PITT MEADOWS;PITT MEADOWS;CANADA;49;12;58;N;122;42;36;W;4
CYPL;YPL;PICKLE LAKE;PICKLE LAKE;CANADA;51;26;47;N;90;12;51;W;387
CYPN;YPN;PORT MENIER;PORT MENIER;CANADA;49;50;11;N;64;17;19;W;51
CYPQ;YPQ;PETERBOROUGH;PETERBOROUGH;CANADA;44;13;48;N;78;21;48;W;192
CYPR;YPR;PRINCE RUPERT;PRINCE PUPERT;CANADA;54;17;10;N;130;26;41;W;36
CYPY;YPY;FORT CHIPEWYAN;FORT CHIPEWYAN;CANADA;58;46;2;N;111;7;2;W;232
CYQA;YQA;MUSKOKA;MUSKOKA;CANADA;44;58;29;N;79;18;12;W;282
CYQB;YQB;QUEBEC JEAN LESAGE INTERNATIONAL;QUEBEC;CANADA;46;47;18;N;71;23;51;W;75
CYQF;YQF;RED DEER REGIONAL;RED DEER INDUSTRIAL;CANADA;52;10;43;N;113;53;35;W;905
CYQG;YQG;WINDSOR;WINDSOR;CANADA;42;16;32;N;82;57;20;W;190
CYQH;YQH;WATSON LAKE;WATSON LAKE;CANADA;60;7;4;N;128;49;19;W;688
CYQK;YQK;KENORA;KENORA;CANADA;49;47;18;N;94;21;47;W;406
CYQL;YQL;LETHBRIDGE;LETHBRIDGE;CANADA;49;37;49;N;112;47;59;W;929
CYQM;YQM;GREATER MONCTON INTERNATIONAL;MONCTON;CANADA;46;6;44;N;64;40;43;W;71
CYQN;N/A;NAKINA;NAKINA;CANADA;50;10;58;N;86;41;47;W;323
CYQQ;YQQ;COMOX;COMOX;CANADA;49;42;39;N;124;53;12;W;26
CYQR;YQR;REGINA INTERNATIONAL;REGINA;CANADA;50;25;55;N;104;39;57;W;578
CYQT;YQT;THUNDER BAY;THUNDER BAY;CANADA;48;22;19;N;89;19;26;W;200
CYQU;YQU;GRANDE PRAIRIE;GRANDE PRAIRIE;CANADA;55;10;47;N;118;53;6;W;670
CYQV;YQV;YORKTON MUNI;YORKTON;CANADA;51;15;53;N;102;27;42;W;499
CYQW;YQW;NORTH BATTLEFORD;NORTH BATTLEFORD;CANADA;52;46;9;N;108;14;37;W;549
CYQX;YQX;GANDER INTERNATIONAL;GANDER;CANADA;48;56;13;N;54;34;5;W;152
CYQY;YQY;SYDNEY;SYDNEY;CANADA;46;9;41;N;60;2;52;W;62
CYQZ;YQZ;QUESNEL;QUESNEL;CANADA;53;1;34;N;122;30;36;W;546
CYRB;YRB;RESOLUTE BAY;RESOLUTE;CANADA;74;43;1;N;94;58;10;W;66
CYRI;YRI;RIVIERE DU LOUP;RIVIERE DU LOUP;CANADA;47;45;52;N;69;35;5;W;131
CYRJ;YRJ;ROBERVAL;ROBERVAL;CANADA;48;31;12;N;72;15;56;W;179
CYRM;YRM;ROCKY MOUNTAIN HOUSE;ROCKY MOUNTAIN HOUSE;CANADA;52;25;47;N;114;54;15;W;989
CYRT;YRT;RANKIN INLET;RANKIN INLET;CANADA;62;48;41;N;92;6;57;W;29
CYRW;N/A;N/A;TROIS RIVIERE;CANADA;0;0;0;U;0;0;0;U;0
CYSA;N/A;N/A;SABLE ISLAND;CANADA;0;0;0;U;0;0;0;U;0
CYSB;YSB;SUDBURY;SUDBURY;CANADA;46;37;30;N;80;47;56;W;348
CYSC;YSC;SHERBROOKE;SHERBROOKE;CANADA;45;26;17;N;71;41;26;W;242
CYSD;N/A;N/A;SUFFIELD;CANADA;0;0;0;U;0;0;0;U;0
CYSF;YSF;N/A;STONY RAPIDS;CANADA;0;0;0;U;0;0;0;U;0
CYSJ;YSJ;SAINT JOHN;ST. JOHN;CANADA;45;18;58;N;65;53;25;W;109
CYSK;YSK;N/A;SANIKILUAQ;CANADA;0;0;0;U;0;0;0;U;0
CYSM;YSM;FORT SMITH;FORT SMITH;CANADA;60;1;20;N;111;57;37;W;206
CYSR;YSR;NANISIVIK;NANISIVIK;CANADA;72;58;56;N;84;36;49;W;642
CYSS;N/A;N/A;SLATE ISLAND;CANADA;0;0;0;U;0;0;0;U;0
CYSU;YSU;SUMMERSIDE;SUMMERSIDE;CANADA;46;26;34;N;63;49;52;W;18
CYSY;YSY;SACHS HARBOUR;SACHS HARBOUR;CANADA;71;59;38;N;125;14;33;W;86
CYTC;N/A;N/A;ETHELDA BAY;CANADA;0;0;0;U;0;0;0;U;0
CYTE;YTE;CAPE DORSET;CAPE DORSET;CANADA;64;13;48;N;76;31;36;W;50
CYTH;YTH;THOMPSON;THOMPSON;CANADA;55;48;4;N;97;51;51;W;223
CYTL;YTL;N/A;BIG TROUT LAKE;CANADA;0;0;0;U;0;0;0;U;0
CYTR;YTR;TRENTON;TRENTON;CANADA;44;7;8;N;77;31;41;W;87
CYTS;YTS;TIMMINS;TIMMINS;CANADA;48;34;11;N;81;22;36;W;295
CYTZ;YTZ;CITY CENTRE;TORONTO;CANADA;43;37;39;N;79;23;46;W;77
CYUA;N/A;N/A;SHINGLE POINT;CANADA;0;0;0;U;0;0;0;U;0
CYUB;YUB;TUKTOYAKTUK;TUKTOYAKTUK;CANADA;69;26;0;N;133;1;35;W;5
CYUC;N/A;N/A;NICHOLSON PENINSULAR;CANADA;0;0;0;U;0;0;0;U;0
CYUF;YUF;N/A;PELLY BAY;CANADA;0;0;0;U;0;0;0;U;0
CYUH;N/A;N/A;CLINTON POINT;CANADA;0;0;0;U;0;0;0;U;0
CYUI;N/A;N/A;CAPE YOUNG;CANADA;0;0;0;U;0;0;0;U;0
CYUJ;N/A;N/A;LADY FRANKLIN POINT;CANADA;0;0;0;U;0;0;0;U;0
CYUK;N/A;N/A;BYRON BAY;CANADA;0;0;0;U;0;0;0;U;0
CYUL;YUL;MONTREAL INTERNATIONAL DORVAL;MONTREAL;CANADA;45;28;5;N;73;44;29;W;36
CYUQ;N/A;N/A;JENNY LIND ISLAND;CANADA;0;0;0;U;0;0;0;U;0
CYUR;N/A;N/A;GLADMAN POINT;CANADA;0;0;0;U;0;0;0;U;0
CYUS;N/A;N/A;SHEPHERD BAY;CANADA;0;0;0;U;0;0;0;U;0
CYUT;YUT;REPULSE BAY;REPULSE BAY;CANADA;66;31;17;N;86;13;29;W;25
CYUX;YUX;HALL BEACH;HALL BEACH;CANADA;68;46;34;N;81;14;37;W;9
CYUY;YUY;ROUYN NORANDA;ROUYN;CANADA;48;12;22;N;78;50;8;W;302
CYVC;YVC;LA RONGE;LA RONGE;CANADA;55;9;5;N;105;15;43;W;379
CYVG;YVG;VERMILION;VERMILLION;CANADA;53;21;21;N;110;49;26;W;618
CYVM;YVM;QIKIQTARJUAQ;BROUGHTON ISLAND;CANADA;67;32;45;N;64;1;53;W;7
CYVN;N/A;N/A;CAPE DYER;CANADA;0;0;0;U;0;0;0;U;0
CYVO;YVO;VAL D OR;VAL D'OR;CANADA;48;3;12;N;77;46;58;W;338
CYVP;YVP;KUUJJUAQ;QUUJJUAQ;CANADA;58;5;46;N;68;25;37;W;40
CYVQ;YVQ;NORMAN WELLS;NORMAN WELLS;CANADA;65;16;57;N;126;48;1;W;74
CYVR;YVR;VANCOUVER INTERNATIONAL;VANCOUVER;CANADA;49;11;42;N;123;10;55;W;5
CYVT;YVT;BUFFALO NARROWS;BUFFALO NARROWS;CANADA;55;50;31;N;108;25;3;W;441
CYVV;YVV;WIARTON;WIARTON;CANADA;44;44;45;N;81;6;26;W;223
CYWA;YWA;PETAWAWA;PETAWAWA;CANADA;45;57;8;N;77;19;9;W;131
CYWG;YWG;WINNIPEG INTERNATIONAL;WINNIPEG;CANADA;49;54;36;N;97;14;4;W;239
CYWK;YWK;WABUSH;WABUSH;CANADA;52;55;19;N;66;51;52;W;552
CYWL;YWL;WILLIAMS LAKE;WILLIAMS LAKE;CANADA;52;10;59;N;122;3;15;W;941
CYWO;N/A;N/A;LUPIN;CANADA;0;0;0;U;0;0;0;U;0
CYWR;N/A;N/A;WHITE RIVER;CANADA;0;0;0;U;0;0;0;U;0
CYWY;YWY;WRIGLEY;WRIGLEY;CANADA;63;12;34;N;123;26;12;W;151
